strain,Source,label,shared_components
GCA_002186705.1_ASM218670v1_genomic.fasta,Human,human,3
GCA_002186785.1_ASM218678v1_genomic.fasta,Human,human,3
GCA_002186855.1_ASM218685v1_genomic.fasta,Human,human,3
GCA_002187105.1_ASM218710v1_genomic.fasta,Human,human,4
GCA_002187665.1_ASM218766v1_genomic.fasta,Human,human,3
GCA_002189175.1_ASM218917v1_genomic.fasta,Human,human,4
GCA_002189245.1_ASM218924v1_genomic.fasta,Human,human,5
GCA_002189255.1_ASM218925v1_genomic.fasta,Human,human,6
GCA_002411905.1_ASM241190v1_genomic.fasta,Human,human,3
GCA_002934815.1_ASM293481v1_genomic.fasta,Human,human,3
GCA_002934985.1_ASM293498v1_genomic.fasta,Animal,nohuman,4
GCA_002935005.1_ASM293500v1_genomic.fasta,Animal,nohuman,4
GCA_003346435.1_ASM334643v1_genomic.fasta,Food,nohuman,3
GCA_003346475.1_ASM334647v1_genomic.fasta,Food,nohuman,3
GCA_003346605.1_ASM334660v1_genomic.fasta,Food,nohuman,3
GCA_003346675.1_ASM334667v1_genomic.fasta,Food,nohuman,3
GCA_003382185.1_ASM338218v1_genomic.fasta,Human,human,4
GCA_004209275.1_ASM420927v1_genomic.fasta,Human,human,6
GCA_004802965.1_ASM480296v1_genomic.fasta,Human,human,6
GCA_004803325.1_ASM480332v1_genomic.fasta,Human,human,4
GCA_009907615.1_ASM990761v1_genomic.fasta,Human,human,4
GCA_009925385.1_ASM992538v1_genomic.fasta,Animal,nohuman,3
GCA_014489775.1_ASM1448977v1_genomic.fasta,Environment,nohuman,4
GCA_014895605.1_ASM1489560v1_genomic.fasta,Environment,nohuman,5
GCA_015208935.1_ASM1520893v1_genomic.fasta,Human,human,3
GCA_015209135.1_ASM1520913v1_genomic.fasta,Environment,nohuman,3
GCA_015265905.1_ASM1526590v1_genomic.fasta,Human,human,3
GCA_015265985.1_ASM1526598v1_genomic.fasta,Human,human,3
GCA_016651895.1_ASM1665189v1_genomic.fasta,Human,human,4
GCA_016651955.1_ASM1665195v1_genomic.fasta,Human,human,4
GCA_016652065.1_ASM1665206v1_genomic.fasta,Human,human,6
GCA_018789895.1_ASM1878989v1_genomic.fasta,Food,nohuman,3
GCA_018790875.1_ASM1879087v1_genomic.fasta,Food,nohuman,3
GCA_018790985.1_ASM1879098v1_genomic.fasta,Food,nohuman,5
GCA_020591915.1_ASM2059191v1_genomic.fasta,Environment,nohuman,5
GCA_020591985.1_ASM2059198v1_genomic.fasta,Environment,nohuman,5
GCA_021494085.1_ASM2149408v1_genomic.fasta,Environment,nohuman,3
GCA_021494105.1_ASM2149410v1_genomic.fasta,Environment,nohuman,4
GCA_021494245.1_ASM2149424v1_genomic.fasta,Food,nohuman,3
GCA_021494305.1_ASM2149430v1_genomic.fasta,Food,nohuman,3
GCA_021876975.1_PDT001197669.1_genomic.fasta,Human,human,3
GCA_022303595.1_PDT001250704.1_genomic.fasta,Human,human,4
GCA_022309775.1_PDT001250573.1_genomic.fasta,Human,human,3
GCA_022530765.1_ASM2253076v1_genomic.fasta,Human,human,3
GCA_022550215.1_ASM2255021v1_genomic.fasta,Human,human,3
GCA_022964835.1_ASM2296483v1_genomic.fasta,Human,human,3
GCA_022968005.1_ASM2296800v1_genomic.fasta,Environment,nohuman,3
GCA_024471235.1_PDT001370519.1_genomic.fasta,Human,human,3
GCA_024475125.1_PDT001370387.1_genomic.fasta,Human,human,3
GCA_024609285.1_ASM2460928v1_genomic.fasta,Food,nohuman,3
GCA_024609295.1_ASM2460929v1_genomic.fasta,Food,nohuman,5
GCA_024609345.1_ASM2460934v1_genomic.fasta,Food,nohuman,4
GCA_024988895.1_ASM2498889v1_genomic.fasta,Environment,nohuman,4
GCA_024988915.1_ASM2498891v1_genomic.fasta,Environment,nohuman,3
GCA_024989255.1_ASM2498925v1_genomic.fasta,Human,human,4
GCA_025548395.1_ASM2554839v1_genomic.fasta,Animal,nohuman,3
GCA_025548435.1_ASM2554843v1_genomic.fasta,Animal,nohuman,3
GCA_026192315.1_ASM2619231v1_genomic.fasta,Animal,nohuman,4
GCA_026312255.1_PDT001494787.1_genomic.fasta,Human,human,5
GCA_026326415.1_PDT001494786.1_genomic.fasta,Human,human,4
GCA_026334695.1_PDT001494311.1_genomic.fasta,Human,human,3
GCA_026347235.1_PDT001493785.1_genomic.fasta,Human,human,3
GCA_026347375.1_PDT001493769.1_genomic.fasta,Human,human,3
GCA_027853295.1_ASM2785329v1_genomic.fasta,Environment,nohuman,4
GCA_028883335.1_ASM2888333v1_genomic.fasta,Environment,nohuman,4
GCA_028883355.1_ASM2888335v1_genomic.fasta,Environment,nohuman,4
GCA_028883395.1_ASM2888339v1_genomic.fasta,Environment,nohuman,5
GCA_029433685.1_ASM2943368v1_genomic.fasta,Human,human,3
GCA_029433775.1_ASM2943377v1_genomic.fasta,Human,human,3
GCA_030024865.1_ASM3002486v1_genomic.fasta,Human,human,6
GCA_030398485.1_CPCKP2_genomic.fasta,Environment,nohuman,3
GCA_030398635.1_CPCKP9_genomic.fasta,Environment,nohuman,3
GCA_030845375.1_ASM3084537v1_genomic.fasta,Human,human,3
GCA_031033265.1_PDT001776407.1_genomic.fasta,Human,human,5
GCA_031033425.1_PDT001776366.1_genomic.fasta,Human,human,3
GCA_031047695.1_PDT001725777.1_genomic.fasta,Human,human,4
GCA_031047955.1_PDT001725765.1_genomic.fasta,Human,human,6
GCA_031174745.1_PDT001873524.1_genomic.fasta,Human,human,4
GCA_033033935.1_ASM3303393v1_genomic.fasta,Environment,nohuman,6
GCA_033336615.1_ASM3333661v1_genomic.fasta,Human,human,3
GCA_033336995.1_ASM3333699v1_genomic.fasta,Human,human,3
GCA_033540735.1_ASM3354073v1_genomic.fasta,Human,human,4
GCA_033541695.1_ASM3354169v1_genomic.fasta,Human,human,4
GCA_033542425.1_ASM3354242v1_genomic.fasta,Human,human,3
GCA_034196275.1_PDT002019018.1_genomic.fasta,Environment,nohuman,4
GCA_035017105.1_ASM3501710v1_genomic.fasta,Human,human,5
GCA_036986355.1_ASM3698635v1_genomic.fasta,Food,nohuman,6
GCA_036986375.1_ASM3698637v1_genomic.fasta,Animal,nohuman,4
GCA_036986395.1_ASM3698639v1_genomic.fasta,Food,nohuman,4
GCA_036986415.1_ASM3698641v1_genomic.fasta,Food,nohuman,4
GCA_036986455.1_ASM3698645v1_genomic.fasta,Animal,nohuman,4
GCA_036986475.1_ASM3698647v1_genomic.fasta,Food,nohuman,6
GCA_036986535.1_ASM3698653v1_genomic.fasta,Food,nohuman,5
GCA_036986575.1_ASM3698657v1_genomic.fasta,Food,nohuman,6
GCA_036986615.1_ASM3698661v1_genomic.fasta,Food,nohuman,4
GCA_036986635.1_ASM3698663v1_genomic.fasta,Food,nohuman,3
GCA_036986695.1_ASM3698669v1_genomic.fasta,Food,nohuman,5
GCA_036986735.1_ASM3698673v1_genomic.fasta,Food,nohuman,6
GCA_036986755.1_ASM3698675v1_genomic.fasta,Food,nohuman,6
GCA_036986795.1_ASM3698679v1_genomic.fasta,Animal,nohuman,5
GCA_037164945.1_ASM3716494v1_genomic.fasta,Environment,nohuman,5
GCA_037165165.1_ASM3716516v1_genomic.fasta,Environment,nohuman,4
GCA_040422695.1_ASM4042269v1_genomic.fasta,Human,human,4
GCA_041023095.1_ASM4102309v1_genomic.fasta,Animal,nohuman,4
GCA_041023315.1_ASM4102331v1_genomic.fasta,Animal,nohuman,4
GCA_900407125.1_De_novo_assembly_of_KCRI_isolate_R0003_315_genomic.fasta,Human,human,3
GCA_900407225.1_De_novo_assembly_of_KCRI_isolate_R0009_566A_genomic.fasta,Human,human,3
GCA_903110795.1_CHZ6_genomic.fasta,Animal,nohuman,3
GCA_903111615.1_CHZ16-Q1444_genomic.fasta,Animal,nohuman,3
GCA_959609695.1_CRESA-KP228-merged_contigs_filtered.fa.gz_genomic.fasta,Human,human,5
GCA_959609755.1_CRESA-16431-220705_contigs_filtered.fa.gz_genomic.fasta,Human,human,5
GCA_959610255.1_CRESA-KP144-220721_contigs_filtered.fa.gz_genomic.fasta,Human,human,4
GCA_964019465.1_60550-6p_genomic.fasta,Animal,nohuman,5
GCA_964207575.1_FFSG_57-PUS.1_genomic.fasta,Human,human,6
